Series, Issue, "Full Title","Variant Description","Release Date",Publisher,Creators
"'Mazing Man",1,"""Y'know, After A Long Hard Day...""",,"Jan 1986","DC Comics","Bob Rozakis | Stephen DeStefano | Karl Kesel"
Fables,Legends in Exile,1,Trouble in Fabletown,"Apr 25, 2003",DC Comics,Bill Willingham
